question,instruction,reference_response
"I wake in the night, usually about 2-3 hours after going to sleep, with both feet and legs to mid calf feeling like they are on fire. slight red discolorization, minor swelling. This is very painful but after getting up, I can walk it off in about 30 minutes.","If you are a doctor, please answer the medical questions based on the patient's description.","Dear patient Here are the possibilities of what you might have.1)PhlebitisPhlebitis means inflammation of the veins, and can cause redness, itching, irritation, pain, and swelling. A simple Doppler can rule this out.2Blood clot in the lifeblood clots in the leg can become very dangerous, symptoms include swelling, redness, tenderness in the leg. Coagulation profile with an angiography may be required3)Cellulitis"
"Honorable Sir,I am Ripon Dev from Bangladesh.My brother Prodip is a patient of kidney.Now we want to take treatment from you.For your kind information I am sending all medical documents of my brother.So requesting you to inform me what I have to do to take treatment from you.And also inform me about probable cost.Ripon DevDhakaBangladesh","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for writing in. Please add detailed information on the kidney condition of your brother. Early diagnosis and treatment of the underlying cause and/or the institution of secondary preventive measures are important in patients with chronic kidney disease (CKD). These steps may delay, or possibly halt, progression of the disease. Early referral to a nephrologist is of extreme importance, and I am sure you will find a doctor in your city. The medical care of patients with CKD should focus on the following"
"Ive had a cold which started on Christmas eve but appeared to be getting better over the following week. However I now have what I think may be sinusitis - pain in the head, yellow mucus from the nose and stuffiness-squeaking from the sinuses. Will this go away on its own or should I see my GP?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Welcome to Chat Doctor! Yes, from what you have described, it appears that you are having Sinusitis. However, you need to be examined to diagnose it finally. So I'd recommend you to visit your GP and get yourself examined. In case the diagnosis is confirmed, you'll require a dose of Antibiotics to ward off the infection. Also, your GP will advise you certain precautions which need to be followed. Hope this information helps. Feel free to ask if you have any doubt. Wishing you a speedy recovery. With warm regards,"
"I had cervical laminectomy surgery for spinal stenosis in Aug 2010. Since then I have a real tight neck that wants to keep dropping , neck pain , light headedness, back pain, occasional loss of balance and trouble walking and climbing steps. I recently lost my job because of these issues. My Neurologist thinks it is all coming from the neck tightness. My Neuro Surgeon disagrees and sent me to Physical Therapy and a Pain Management Doctor. They both agree with my Neurologist. The Pain Management Specialist told me that there is nothing that can be done. He told me 1 out of 10 or 1 out of every 12 with this surgery end up like me. In the past 3 months I started experiencing tremors in my right hand, right arm, shoulder, neck & head. Aggressive at times. I have tremors pretty much daily now. My Neurologist retired but wanted me to get a second opinion because I am progressing. I have not yet had a second opinion away from the same Medical Practice. I was about to when my Neuro Surgeon called and wanted me to get a Neck MRI. She referred me to another Neurosurgeon she works with to have more surgery. I saw the new Neurosurgeon. He explained he wants to take the hardware from my previous surgery out of the back of my neck and put it in the front to hold my head up. I was told it would not relieve the pain or any other symptoms I am having. I was also sent to another Neurologist in the same practice. She has no idea what is going on. Parkisons was ruled out. Both Neurosurgeons think there is something else going on and it s not coming from my neck. I can feel everything coming from my neck. I have had since May 2 neck MRI s & 4 Botox Injections, in the last 30 days an EEG, Brain MRI & CT Scan. All are normal except CT scan. It was to check healing for removing metal in my neck. I have an appointment to talk about that in a few weeks. Do you think there could actually be 2 different problems? My neck is really tight and like I said before I feel everything but my hand and arm tremors coming from my neck. I am really confused.","If you are a doctor, please answer the medical questions based on the patient's description.",Thanks for writing to us. You have complex story with multiple issues and not pointing to a particular one problem. Tremors can happen in severe cervical spine stenosis due to weakness in extremities. Do you have significant weakness in hands? Neck Chat Doctor.  Difficult to tell you the exact answer however if neurologist ruled out other brain related disorder then you may consider doing anterior cervical surgery. Thanks.
"Hello, At the end of lacrosse practice about a week ago i recieved a nasty cross check to my deltoid. The check hit wierd, as it went under my pad. The pain came in right away, couldnt move my arm for the rest of the night. I was surprised to see that that there was a very small bruise , but my whole shoulder hurts to the point where i cannot do simple tasks such as passing the ball. I can slowly move my arm fine, but when i speed things up it stings all over. I have bern icing it every day. I have been on advil only to help with the pain, but is there anything else i can do? Do you know what could be wrong? Any methods of treating it faster? I need to get back on the field asap before try outs are over.","If you are a doctor, please answer the medical questions based on the patient's description.","Dear List, I believe you may have suffered a muscle strain, maybe even a partial tear. What the muscle and shoulder desperately needs now is absolute rest in some sort of \""sling\""! But, it seems you really want to \""hit the road\"" again; which is rather unfortunate. May I suggest you give your body time to heal. There can be another try out. You may also wish to consider the advice of an Orthopedic Surgeon or Clinical Physiotherapist. Best regards."
"Hello Doctor, I have pain in my right shoulder and below neck. I am having sugar level between 140 to 180 and my age is 35. I am taking Amryl m1 and Nurokind plus after checking with doctors. So please suggest is there any other medicine I should take along with this or not. Also I am doing some exercise as suggested by the Doctor. Thanks and Regards/Amiya.","If you are a doctor, please answer the medical questions based on the patient's description.",Hi Welcome to Chat Doctor After going through your query I concluded that you are having frozen shoulder. For which you have been prescribed some medicine and exercises. I think your Doctor prescription is Okay. You can continue with same prescription protocol. I hope your query get answered. If you have any clarification then please don't hesitate to write to us. I will be happy to answer your query. Wishing you a good health. Take care.
"Hi Doctor, I am a patient of Psoriasis from Last 10 years , It has began from head and then spots on the body...the same was cured 5 years back but now  the spots had started again appearing on my body, nails  and hair. Is this disease is permanently curable....","If you are a doctor, please answer the medical questions based on the patient's description.","Hello, I very well understand your concern for psoriasis. Psoriasis is quite long-running problem and with proper treatment remains in control. It is not at all life endangering condition and is due to simple fast proliferation of skin within 4-5 days. For the treatment and control of this condition Methotrexate is the main of the treatment. It should be taken only under dermatological supervision with proper blood tests as it has its own blood and liver related side effects. I suggest you to take dermatological advice and take proper treatment accordingly. All the best."
"Hello,I have a friend that just expressed a concern for her health. She said she is experiencing pain under her ribcage on the left side shooting through to her back, her vision is blurry and she is extremely fatigued and had noticed sensitivity in her lower left leg accompanied by slight swelling. She is concerned because cancer runs in her family. Any ideas what may be causing this and what we can do while attempting to find her a doctor in this area?","If you are a doctor, please answer the medical questions based on the patient's description.",Thanks for your question on Chat Doctor. In my opinion you should not worry much about her. As I don't think it is cancer. But better to get done some investigation s to rule out other causes. First get done ECG to rule out cardiac cause for left sided chest pain. If this is normal than get done chest x-ray to rule out pulmonary causes for chest pain. If this is also normal than no need to worry much. It is just musculoskeletal pain only. So avoid heavy weight lifting and strenuous exercise. Take good painkiller and muscle relaxant. You will be alright. No need to take stress and tension for cancer.
"I had a child April 11. , 2012.  4weeks after I had a Depo shot (first time ever) and bled for 5months straight. I did not continue on with the shots after the first injection. In addition, within 6weeks after havin my child, I had two kidney stones in my left kidney. They were surgically removed. As of January 2013, I now have three stones back again. Two in my right and one in my left. I have heard many stories that the Depo shot may cause kidney stones. Is it possible that this one Depo shot has caused my kidney stone appearances?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi and thank you so much for this query. I am so sorry to hear about these recurrent stones in your kidneys. Depo shot can cause kidney stones in people who have the tendency to form kidney stones. It does not happen to everybody. Because your occurred during your shot, it has enhanced an already existing predisposing factor to make these stone formed. Also, demo effects should have been long over after you stopped using it. Still having stones means we need to explore further. Factors like not Chat Doctor.  I will like you to meet with your doctor who should look for the predisposing factor(s) and ad"
"Doc my current husband is thal minor and we are planning for a baby. My blood group is O+. I have a 6 year old son, with my first husband. My query to you is what are the problems that am going to face in pregnancy and will our baby have thal?Please help?","If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for writing in. Thalassaemia is caused by inheriting the thalassemia genetic disorder from only one parent. People with thalassemia minor are carriers of the disease, but do not usually have health problems. If both partners have thalassemia minor, they then there is a 25% (1 in 4) chance with each pregnancy of having a child with thalassemia major. Please make sure that you are not a thalassemia minor, and you can confirm the thalassemia status of your unborn child by doing a simple test during the pregnancy. At the moment it is important for you to get tested for possible thalassemia trait and then discuss with your doctor. Please do not worry."
