name,parameter,size,available,check,version,comment
litert-community/Gecko-110m-en,110M,NULL,No,X,,"Only in .tflite format, don't have .task"
litert-community/SmolLM-135M-Instruct,135M,553MB,yes,YES,SmolLM-135M-Instruct_multi-prefill-seq_f32_ekv1280.task,NULL
litert-community/SmolVLM-256M-Instruct,256M,NULL,No,X,NULL,Not availabel in .task only in .tflite
litert-community/gemma-3-270m-it,270m,276,yes(web),x,NULL,Not available for Android
litert-community/Qwen2.5-0.5B-Instruct,0.5B,547MB,yes,YES,Qwen2.5-0.5B-Instruct_multi-prefill-seq_q8_ekv1280.task,average performance
litert-community/Hammer2.1-0.5b,0.5b,509MB,yes,YES,hammer2p1_05b_.task,Bellow average
litert-community/gemma3-1b-ft-text-to-sql,1b,1.0GB,"yes, too large",X,"gemma3_1b_finetune_q8_ekv1024.task
",large for mobile
litert-community/Gemma3-1B-IT,1B,NULL,yes,YES,Gemma3-1B-IT_multi-prefill-seq_q4_block128_ekv1280.task,Best
litert-community/Llama-3.2-1B-Instruct,1B,1.28GB,yes,X,NULL,large file
litert-community/TinyLlama-1.1B-Chat-v1.0,1.1B,NULL,Yes,X,"","SA54 could not run, too large"
litert-community/Qwen2.5-1.5B-Instruct,1.5B,1.5GB,yes(large),X,"",too large
litert-community/Hammer2.1-1.5b,1.5b,1.6GB,yes but larger 1GB,X,"",NULL
litert-community/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,1.8GB,yes(large),x,NULL,too large
litert-community/Gemma2-2B-IT,2B,27.1GB,web only,X,NULL,very large
litert-community/Qwen2.5-3B-Instruct,3B,3.2GB,yes(very large),X,NULL,very large
litert-community/Llama-3.2-3B-Instruct,3B,3.3GB,yes(very large),X,NULL,very large
litert-community/Gemma3-4B-IT,4B,2.5-3.9GB,Only fro web,X,NULL,only for web available
litert-community/Qwen2.5-3B-Instruct,3B,3.2GB,yes(very large),X,NULL,large
litert-community/Gemma3-27B-IT,27B,27.1GB,web only,X,NULL,very large
litert-community/MedGemma-27B-IT,27B,27.1GB,web only,X,NULL,very large
litert-community/Phi-4-mini-instruct,4-mini,3.9GB,"yes, web and android(VERY LARGE)",X,NULL,very large
